bin,lower,upper,before_count,before_mean_probability,before_observed_rate,after_count,after_mean_probability,after_observed_rate
1,0.0,0.1,7018,0.004750069781766189,0.0,7313,0.0006716907073570381,0.0
2,0.1,0.2,147,0.14680759160174076,0.0,15,0.14673241382979818,0.0
3,0.2,0.30000000000000004,71,0.24184474463048733,0.0,18,0.23152498109294609,0.1111111111111111
4,0.30000000000000004,0.4,44,0.3472095851144052,0.0,4,0.35771298926774364,0.25
5,0.4,0.5,31,0.4453107359669352,0.0,12,0.4472347763107538,0.3333333333333333
6,0.5,0.6000000000000001,15,0.5543536461431723,0.0,10,0.5594610206961719,0.5
7,0.6000000000000001,0.7000000000000001,21,0.6378154266355325,0.09523809523809523,13,0.6630382194516576,0.38461538461538464
8,0.7000000000000001,0.8,25,0.7580887687412247,0.4,25,0.7485855441843273,0.64
9,0.8,0.9,70,0.8632306065790313,0.7,59,0.867608190945744,0.8813559322033898
10,0.9,1.0,12627,0.9886317834719206,0.9963570127504554,12600,0.9963262050269545,0.9965873015873016
